site_id,local_site_name,site_address,state,county,city,pollutant_id,parameter_name,units_of_measure,method,date,sample_duration,observation_count,arithmetic_mean,aqi
0002,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,88101,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,20210718,24 HOUR,1,10.2,53.0
0002,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,88101,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,20210718,24 HOUR,1,10.2,53.0
0002,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,88101,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,20210718,24 HOUR,1,10.2,53.0
0002,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,88101,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,20210718,24 HOUR,1,10.2,53.0
0002,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,88101,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,20210718,24 HOUR,1,10.2,53.0
0002,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,88101,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,20210718,24 HOUR,1,10.2,53.0
0002,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,88101,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,20210718,24 HOUR,1,10.2,53.0
0002,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,88101,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,20210718,24 HOUR,1,10.2,53.0
0002,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,88101,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,20210724,24 HOUR,1,14.5,61.0
0002,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,88101,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,20210724,24 HOUR,1,14.5,61.0
0002,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,88101,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,20210724,24 HOUR,1,14.5,61.0
0002,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,88101,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,20210724,24 HOUR,1,14.5,61.0
0002,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,88101,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,20210724,24 HOUR,1,14.5,61.0
0002,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,88101,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,20210724,24 HOUR,1,14.5,61.0
0002,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,88101,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,20210724,24 HOUR,1,14.5,61.0
0002,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,88101,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,20210724,24 HOUR,1,14.5,61.0
0002,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,88101,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,20210730,24 HOUR,1,12.1,57.0
0002,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,88101,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,20210730,24 HOUR,1,12.1,57.0
0002,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,88101,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,20210730,24 HOUR,1,12.1,57.0
0002,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,88101,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,20210730,24 HOUR,1,12.1,57.0
0002,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,88101,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,20210730,24 HOUR,1,12.1,57.0
